-10	3,02E-09
-9,821	3,13E-09
-9,6425	2,98E-09
-9,4635	2,90E-09
-9,2845	2,58E-09
-9,1055	2,90E-09
-8,927	2,34E-09
-8,748	2,76E-09
-8,569	3,09E-09
-8,39	3,09E-09
-8,2115	2,78E-09
-8,0325	2,85E-09
-7,8535	2,73E-09
-7,675	2,50E-09
-7,496	2,60E-09
-7,317	2,70E-09
-7,138	2,50E-09
-6,9595	2,31E-09
-6,7805	2,40E-09
-6,6015	2,32E-09
-6,423	2,18E-09
-6,244	2,06E-09
-6,065	1,86E-09
-5,886	1,82E-09
-5,7075	1,99E-09
-5,5285	1,64E-09
-5,3495	1,70E-09
-5,1705	1,88E-09
-4,992	1,49E-09
-4,813	1,39E-09
-4,634	1,69E-09
-4,4555	1,60E-09
-4,2765	1,47E-09
-4,0975	1,47E-09
-3,9185	1,12E-09
-3,74	9,89E-10
-3,561	1,20E-09
-3,382	9,61E-10
-3,203	8,56E-10
-3,0245	1,13E-09
-2,8455	7,85E-10
-2,6665	7,01E-10
-2,488	8,84E-10
-2,309	7,60E-10
-2,13	6,61E-10
-1,951	7,74E-10
-1,7725	6,66E-10
-1,5935	9,97E-10
-1,4145	8,40E-10
-1,236	9,39E-10
-1,057	1,30E-09
-0,878	1,16E-09
-0,699	1,31E-09
-0,5205	1,92E-09
-0,3415	2,35E-09
-0,1625	2,95E-09
0,0165	3,84E-09
0,195	4,58E-09
0,374	4,95E-09
0,553	5,99E-09
0,7315	7,87E-09
0,9105	1,01E-08
1,0895	1,26E-08
1,2685	1,57E-08
1,447	1,92E-08
1,626	2,32E-08
1,805	2,81E-08
1,984	3,34E-08
2,1625	3,95E-08
2,3415	4,64E-08
2,5205	4,85E-08
2,699	5,72E-08
2,878	6,67E-08
3,057	7,72E-08
3,236	8,87E-08
3,4145	1,01E-07
3,5935	1,15E-07
3,7725	1,30E-07
3,951	1,46E-07
4,13	1,64E-07
4,309	1,84E-07
4,488	2,05E-07
4,6665	2,28E-07
4,8455	2,52E-07
5,0245	2,78E-07
5,2035	3,07E-07
5,382	3,37E-07
5,561	3,70E-07
5,74	4,05E-07
5,9185	4,42E-07
6,0975	4,81E-07
6,2765	5,01E-07
6,4555	5,47E-07
6,634	5,94E-07
6,813	6,45E-07
6,992	6,98E-07
7,171	7,55E-07
7,3495	8,14E-07
7,5285	8,77E-07
7,7075	9,43E-07
7,886	1,01E-06
8,065	1,09E-06
8,244	1,16E-06
8,423	1,25E-06
8,6015	1,33E-06
8,7805	1,42E-06
8,9595	1,51E-06
9,138	1,61E-06
9,317	1,71E-06
9,496	1,82E-06
9,675	1,94E-06
9,8535	2,05E-06
10,0325	2,18E-06
10,2115	2,31E-06
10,3905	2,44E-06
10,569	2,58E-06
10,748	2,72E-06
10,927	2,88E-06
11,1055	3,03E-06
11,2845	3,20E-06
11,4635	3,37E-06
11,6425	3,55E-06
11,821	3,73E-06
12	3,92E-06
12	3,91E-06
11,821	3,68E-06
11,6425	3,47E-06
11,4635	3,27E-06
11,2845	3,08E-06
11,1055	2,90E-06
10,927	2,73E-06
10,748	2,57E-06
10,569	2,42E-06
10,3905	2,27E-06
10,2115	2,13E-06
10,0325	2,00E-06
9,8535	1,87E-06
9,675	1,75E-06
9,496	1,63E-06
9,317	1,53E-06
9,138	1,42E-06
8,9595	1,33E-06
8,7805	1,23E-06
8,6015	1,15E-06
8,423	1,06E-06
8,244	9,84E-07
8,065	9,10E-07
7,886	8,41E-07
7,7075	7,75E-07
7,5285	7,13E-07
7,3495	6,55E-07
7,171	6,01E-07
6,992	5,50E-07
6,813	5,03E-07
6,634	4,58E-07
