0			5,37047229604015E-12	-7,74545672044269E-9	-4,39405738461573E-8	-1,53528901591926E-7	-4,58643228284927E-7	-1,19881929094845E-6	-1,72625323102693E-6	-3,00577517009515E-6	-6,18328931523138E-6	-7,50513618186233E-6	-1,09084721771069E-5
16,9799995422363	3,42748407433646E-8	1,49168087659746E-7	4,52433312148059E-7	1,20065556075133E-6	2,87312241198379E-6	6,1864279814472E-6	1,1902454389201E-5	2,10417238122318E-5	3,50291120412294E-5	5,45573893759865E-5	8,03631410235539E-5
17,1450004577637	3,4485466926526E-8	1,49635070556542E-7	4,53495772489987E-7	1,20336085274175E-6	2,88012643068214E-6	6,20363834968884E-6	1,19403630378656E-5	2,11163714993745E-5	3,51623457390815E-5	5,47784839000087E-5	8,07238320703618E-5
17,3050003051758	3,4708175888909E-8	1,500737596416E-7	4,54522563586579E-7	1,2060677363479E-6	2,88722822006093E-6	6,21995741312276E-6	1,19761134556029E-5	2,11855222005397E-5	3,52900242432952E-5	5,49941614735872E-5	8,10656056273729E-5
17,4650001525879	3,49039090963288E-8	1,50490521377833E-7	4,55618049954865E-7	1,20877268727781E-6	2,89429885924619E-6	6,23555706624757E-6	1,20119902931037E-5	2,12534851016244E-5	3,54116418748163E-5	5,52016390429344E-5	8,14031809568405E-5
17,6299991607666	3,5109703588887E-8	1,50940891785467E-7	4,56710836260754E-7	1,21149639653595E-6	2,90095908894727E-6	6,25108532403829E-6	1,20450185931986E-5	2,13212679227581E-5	3,55372903868556E-5	5,54100406588987E-5	8,17440741229802E-5
17,7900009155273	3,53247351370101E-8	1,51340756815443E-7	4,57657478136753E-7	1,21408606901241E-6	2,90719708573306E-6	6,26670225756243E-6	1,20792892630561E-5	2,13888506550575E-5	3,56570926669519E-5	5,5614367738599E-5	8,20711793494411E-5
17,9500007629395	3,55082647729432E-8	1,51783851265463E-7	4,58800968772266E-7	1,21640982797544E-6	2,91403512164834E-6	6,2820495259075E-6	1,21119610412279E-5	2,14542596950196E-5	3,57734570570756E-5	5,58128085685894E-5	8,24032831587829E-5
18,1149997711182	3,57230263148267E-8	1,52204563619307E-7	4,5984012331246E-7	1,21895527627203E-6	2,92049048766785E-6	6,2974436332297E-6	1,21473412946216E-5	2,15202671824954E-5	3,58942270395346E-5	5,60197004233487E-5	8,27356052468531E-5
18,2749996185303	3,58963703206427E-8	1,52609104020485E-7	4,60817346947806E-7	1,22137578273396E-6	2,92681238533987E-6	6,31160492048366E-6	1,21787252282957E-5	2,15842028410407E-5	3,60082740371581E-5	5,62117493245751E-5	8,30478311399929E-5
18,4349994659424	3,61257512793145E-8	1,5296710387247E-7	4,61823276509676E-7	1,22404730973358E-6	2,93277184937324E-6	6,32582487014588E-6	1,22099208965665E-5	2,16470016312087E-5	3,61209713446442E-5	5,64031688554678E-5	8,33663580124266E-5
18,6000003814697	3,63148302540139E-8	1,53388029389134E-7	4,62894377051271E-7	1,22652886602737E-6	2,93870675704966E-6	6,34032267043949E-6	1,22413093777141E-5	2,17084198084194E-5	3,62346763722599E-5	5,65984155400656E-5	8,36753533803858E-5
18,7600002288818	3,65234420485194E-8	1,53831138050009E-7	4,63912357417939E-7	1,22880180697393E-6	2,94495748676127E-6	6,35424066786072E-6	1,22714072858798E-5	2,17693886952475E-5	3,63428043783642E-5	5,67788265470881E-5	8,39759813970886E-5
18,9200000762939	3,67205643669877E-8	1,54187205225753E-7	4,64856526605217E-7	1,23138715935056E-6	2,95013524009846E-6	6,36763616057578E-6	1,23011768664583E-5	2,18277982639847E-5	3,64492916560266E-5	5,69600306334905E-5	8,42747540445998E-5
19,0849990844727	3,691635797054E-8	1,54567970866992E-7	4,65850689579383E-7	1,23371648896864E-6	2,95587756227178E-6	6,38109077044646E-6	1,23323934531072E-5	2,18887125811307E-5	3,65586747648194E-5	5,71485943510197E-5	8,45791219035164E-5
19,2450008392334	3,71279966770999E-8	1,54975225541421E-7	4,66721502334622E-7	1,23610072932934E-6	2,96179700853827E-6	6,39406198388315E-6	1,23618438010453E-5	2,19448393181665E-5	3,66647400369402E-5	5,73248835280538E-5	8,48696508910507E-5
19,4050006866455	3,72923096847444E-8	1,55389471956369E-7	4,67673487491993E-7	1,23821803299506E-6	2,96700659419002E-6	6,40724374534329E-6	1,23891277326038E-5	2,20005913433852E-5	3,67663051292766E-5	5,74985242565162E-5	8,51575387059711E-5
19,5699996948242	3,75008291086942E-8	1,55769228626923E-7	4,68634738126639E-7	1,24050689009891E-6	2,97253927783458E-6	6,41976021142909E-6	1,24169291666476E-5	2,20570800593123E-5	3,68679320672527E-5	5,76751517655794E-5	8,54474928928539E-5
19,7299995422363	3,77197366674409E-8	1,5615260906543E-7	4,69539941150288E-7	1,24282985325408E-6	2,97736755783262E-6	6,43170142211602E-6	1,24444404718815E-5	2,21126792894211E-5	3,69673543900717E-5	5,78461840632372E-5	8,57273043948226E-5
19,8899993896484	3,78924127630853E-8	1,56485114644056E-7	4,70348226144779E-7	1,24510813748202E-6	2,98256645692163E-6	6,44388137516216E-6	1,24716698337579E-5	2,21650589082856E-5	3,70637862943113E-5	5,8013141824631E-5	8,60057771205902E-5
20,0550003051758	3,8072297314784E-8	1,56920435756547E-7	4,72069416446175E-7	1,24734117434855E-6	2,98779104923597E-6	6,45681075184257E-6	1,24984535432304E-5	2,221902468591E-5	3,71615678886883E-5	5,81834210606758E-5	8,62861852510832E-5
20,2150001525879	3,82799534293099E-8	1,57288667423927E-7	4,72836887865924E-7	1,24954419788992E-6	2,99302314488159E-6	6,46853686703253E-6	1,25235710584093E-5	2,22712042159401E-5	3,72556532965973E-5	5,83495384489652E-5	8,65551191964187E-5
20,375			3,84686522636457E-8	1,5765054683925E-7	4,73524778499268E-7	1,25172334719537E-6	2,99787802759965E-6	6,47988463242655E-6	1,2549808161566E-5	2,23219158215215E-5	3,7349480408011E-5	5,85069974476937E-5	8,68216520757414E-5
20,5400009155273	3,8669590196605E-8	1,58019517471075E-7	4,74297138453039E-7	1,25370763726096E-6	3,0028154469619E-6	6,4914802351268E-6	1,25760270748287E-5	2,23721981456038E-5	3,74420087609906E-5	5,86670175835025E-5	8,7091131717898E-5
20,7000007629395	3,88586940403002E-8	1,58416526119254E-7	4,75155019330487E-7	1,25578628740186E-6	3,00748820336594E-6	6,50266792945331E-6	1,25993155961623E-5	2,24218911171192E-5	3,7532012356678E-5	5,88198927289341E-5	8,7345099018421E-5
20,8649997711182	3,90629182334123E-8	1,58772820668673E-7	4,75882075079426E-7	1,25777478388045E-6	3,01267027680296E-6	6,51444042887306E-6	1,26251397887245E-5	2,24715040531009E-5	3,76253847207408E-5	5,89813462283928E-5	8,76105768838897E-5
21,0249996185303	3,92496488643701E-8	1,59129811549974E-7	4,76593157827665E-7	1,25990720789559E-6	3,01707746075408E-6	6,52490462016431E-6	1,26495424410678E-5	2,25200274144299E-5	3,77121577912476E-5	5,91335083299782E-5	8,78615246620029E-5
21,1849994659424	3,9444429944524E-8	1,5942940478908E-7	4,77377909646748E-7	1,26183226711873E-6	3,02136822938337E-6	6,53527240501717E-6	1,26728600662318E-5	2,25671592488652E-5	3,77974138245918E-5	5,92824726481922E-5	8,81089727045037E-5
21,3500003814697	3,96197705754275E-8	1,59849122383093E-7	4,78170875339856E-7	1,26359202567983E-6	3,02617854686105E-6	6,54609857519972E-6	1,26970198834897E-5	2,26142401515972E-5	3,7884215998929E-5	5,94343400734942E-5	8,83592074387707E-5
21,5100002288818	3,9827309450402E-8	1,60220167799707E-7	4,78944457427133E-7	1,26567817915202E-6	3,0302473987831E-6	6,55617168376921E-6	1,27198491099989E-5	2,26596348511521E-5	3,79684242943767E-5	5,95764977333602E-5	8,859891386237E-5
21,6700000762939	4,00299633440682E-8	1,6053337503763E-7	4,79730772440234E-7	1,26750012441335E-6	3,03482647723285E-6	6,56629572404199E-6	1,27413959489786E-5	2,27026084758108E-5	3,80508863599971E-5	5,97167636442464E-5	8,88415816007182E-5
21,8349990844727	4,02105619912163E-8	1,60868125931302E-7	4,80556479942607E-7	1,26963925595192E-6	3,03911269838864E-6	6,57612918075756E-6	1,27641496874276E-5	2,27494620048674E-5	3,81354220735375E-5	5,98644292040262E-5	8,90783121576533E-5
21,9950008392334	4,03985715990984E-8	1,61259706032979E-7	4,81259121443145E-7	1,27152190998459E-6	3,04309833154548E-6	6,58518865748192E-6	1,27864714158932E-5	2,27910222747596E-5	3,82134385290556E-5	6,00049061176833E-5	8,93125688889995E-5
22,1550006866455	4,05963369587425E-8	1,61634716278058E-7	4,82106543131522E-7	1,27358237023145E-6	3,04742502521549E-6	6,59490842735977E-6	1,28072779261856E-5	2,28332519327523E-5	3,8291109376587E-5	6,01383180764969E-5	8,95461926120333E-5
22,3199996948242	4,07844851224581E-8	1,61953096267098E-7	4,82704706428194E-7	1,27525424886699E-6	3,05210232909303E-6	6,60501109450706E-6	1,28280216813437E-5	2,28752942348365E-5	3,83709957532119E-5	6,02769869146869E-5	8,97753561730497E-5
22,4799995422363	4,09552143310066E-8	1,62247204116284E-7	4,835446816287E-7	1,27700980101508E-6	3,05588628179976E-6	6,61454168948694E-6	1,2848117876274E-5	2,29175384447444E-5	3,84485501854215E-5	6,04103224759456E-5	8,9992958237417E-5
22,6399993896484	4,11315852488769E-8	1,62538228209996E-7	4,84189968119608E-7	1,27878763578337E-6	3,05994763039052E-6	6,62316824673326E-6	1,2868306839664E-5	2,29581601161044E-5	3,85221683245618E-5	6,05412096774671E-5	9,02132596820593E-5
22,8050003051758	4,13128624643377E-8	1,62936274250569E-7	4,8498725391255E-7	1,28076317196246E-6	3,06418928630592E-6	6,63187483951333E-6	1,2889075151179E-5	2,30006498895818E-5	3,85981802537572E-5	6,06753856118303E-5	9,04391054064035E-5
22,9650001525879	4,1505781922524E-8	1,63256302698755E-7	4,8572024979876E-7	1,2826891406803E-6	3,06782703773933E-6	6,6411694206181E-6	1,29085783555638E-5	2,30386613111477E-5	3,86720494134352E-5	6,08012742304709E-5	9,06564673641697E-5
23,125			4,16788701329551E-8	1,6359663845833E-7	4,86335125060577E-7	1,28431588564126E-6	3,0715430057171E-6	6,64987601339817E-6	1,29273703350918E-5	2,30773566727294E-5	3,87431282433681E-5	6,09283051744569E-5	9,0871297288686E-5
23,2900009155273	4,18693595349851E-8	1,63936277886023E-7	4,87021566186741E-7	1,28596093418309E-6	3,07560549117625E-6	6,65871220917325E-6	1,29465906866244E-5	2,31153371714754E-5	3,88153639505617E-5	6,10550778219476E-5	9,10812159418128E-5
23,4500007629395	4,20596641959037E-8	1,64291520832194E-7	4,87732279452757E-7	1,28764702367334E-6	3,07957293443906E-6	6,66712458041729E-6	1,2965051610081E-5	2,31523572438164E-5	3,8883816159796E-5	6,11786526860669E-5	9,12870964384638E-5
23,6100006103516	4,2261994792625E-8	1,64638294108954E-7	4,88396324271889E-7	1,28954218325816E-6	3,08297649098677E-6	6,67581389279803E-6	1,29830150399357E-5	2,31905723921955E-5	3,8951009628363E-5	6,12987860222347E-5	9,14924748940393E-5
23,7749996185303	4,24402486487452E-8	1,65026875720287E-7	4,89179740270629E-7	1,29133434256801E-6	3,08674657389929E-6	6,68441089146654E-6	1,30019834614359E-5	2,32284637604607E-5	3,90213499485981E-5	6,14204327575862E-5	9,1709996922873E-5
23,9349994659424	4,26249471274787E-8	1,65280795272338E-7	4,89932347136346E-7	1,29285194816475E-6	3,0904723189451E-6	6,69241489958949E-6	1,30203088701819E-5	2,32645961659728E-5	3,90889508707915E-5	6,15355675108731E-5	9,19017111300491E-5
24,0949993133545	4,28089812487542E-8	1,6560804283472E-7	4,90559614263475E-7	1,29453974295757E-6	3,09374104290328E-6	6,69996052238275E-6	1,30377256937209E-5	2,33002756431233E-5	3,9154379919637E-5	6,16534671280533E-5	9,20962484087795E-5
24,2600002288818	4,29878639351955E-8	1,65896494763729E-7	4,91224909637822E-7	1,29624481814972E-6	3,09754364025139E-6	6,70853614792577E-6	1,30547550725169E-5	2,33332884818083E-5	3,92189649573993E-5	6,17706173215993E-5	9,22951439861208E-5
24,4200000762939	4,31642988019121E-8	1,66249407129726E-7	4,91864341256587E-7	1,29784189084603E-6	3,10100563183369E-6	6,71580392008764E-6	1,30720245579141E-5	2,3368522306555E-5	3,92801921407226E-5	6,18849880993366E-5	9,24868581932969E-5
24,5799999237061	4,33491429419064E-8	1,66550904623364E-7	4,92598474011174E-7	1,29944260152115E-6	3,1043998660607E-6	6,72349233354907E-6	1,30883690871997E-5	2,34032795560779E-5	3,93427108065225E-5	6,19995771558024E-5	9,26753418752924E-5
24,7450008392334	4,35364846396169E-8	1,66906048093551E-7	4,93218863084621E-7	1,30104842810397E-6	3,10755763166526E-6	6,73067188472487E-6	1,31065053210477E-5	2,34384533541743E-5	3,9406048017554E-5	6,21148719801567E-5	9,28766385186464E-5
24,9050006866455	4,37152216647974E-8	1,67270883366655E-7	4,93809636736842E-7	1,30255750718788E-6	3,11111580231227E-6	6,73802787787281E-6	1,31221049741725E-5	2,34702929446939E-5	3,94671951653436E-5	6,22195366304368E-5	9,30546084418893E-5
25,0650005340576	4,38970815253015E-8	1,67571513998155E-7	4,94486755542312E-7	1,30407966025814E-6	3,11432017952029E-6	6,7455148382578E-6	1,3138516806066E-5	2,35026691370877E-5	3,95275383198168E-5	6,23324376647361E-5	9,32398543227464E-5
25,2299995422363	4,40919940558615E-8	1,67881992751973E-7	4,95130620947748E-7	1,30572880152613E-6	3,11807025354938E-6	6,75258070259588E-6	1,31542637973325E-5	2,35335628531175E-5	3,95865099562798E-5	6,24309250270016E-5	9,34224517550319E-5
25,3899993896484	4,43002328154307E-8	1,68168341474484E-7	4,95760446028726E-7	1,30693467781384E-6	3,12137535729562E-6	6,76034915159107E-6	1,31688875626423E-5	2,35663937928621E-5	3,96449649997521E-5	6,25385728199035E-5	9,35988646233454E-5
25,5550003051758	4,44757262130224E-8	1,68425373203718E-7	4,96425911933329E-7	1,30859723412868E-6	3,12468182528391E-6	6,76740273775067E-6	1,31853039420093E-5	2,35984352912055E-5	3,9703787479084E-5	6,2643906858284E-5	9,37859513214789E-5
25,7150001525879	4,46523920061281E-8	1,68740513117882E-7	4,9715390559868E-7	1,3100794831189E-6	3,12785800815618E-6	6,77374919177964E-6	1,32001378005953E-5	2,36284067796078E-5	3,97618678107392E-5	6,27424306003377E-5	9,39527017180808E-5
25,875			4,4841787172345E-8	1,69094136026615E-7	4,97723419812246E-7	1,31198942199262E-6	3,13088753500779E-6	6,78105925544514E-6	1,32152754304116E-5	2,36587766266894E-5	3,98183801735286E-5	6,2843864725437E-5	9,41277685342357E-5
26,0400009155273	4,50199237889137E-8	1,69457663901085E-7	4,98375584356836E-7	1,3132090543877E-6	3,13452619593591E-6	6,78720380165032E-6	1,32299828692339E-5	2,368844798184E-5	3,98760967073031E-5	6,29439455224201E-5	9,43006089073606E-5
26,2000007629395	4,52022703711918E-8	1,69721374732035E-7	4,98925373904058E-7	1,31491663069028E-6	3,13728287437698E-6	6,79392496749642E-6	1,32449695229298E-5	2,37199365074048E-5	3,99302516598254E-5	6,30425929557532E-5	9,44693820201792E-5
26,3600006103516	4,53691910706766E-8	1,70067110616401E-7	4,99629720707162E-7	1,31621800392168E-6	3,14052772409923E-6	6,80025959809427E-6	1,32603336169268E-5	2,3748578314553E-5	3,99834862037096E-5	6,31355360383168E-5	9,46344807744026E-5
26,5249996185303	4,5572317475262E-8	1,70423518852658E-7	5,02000716551265E-7	1,31798947222705E-6	3,14385147248686E-6	6,80726179780322E-6	1,3275209312269E-5	2,37777549045859E-5	4,00362187065184E-5	6,3234860135708E-5	9,48072411119938E-5
26,6849994659424	4,57493811722998E-8	1,70700189983108E-7	5,02505884014681E-7	1,31926185531484E-6	3,14684962177125E-6	6,81328492646571E-6	1,32886398205301E-5	2,38056836678879E-5	4,00889257434756E-5	6,33281306363642E-5	9,49710520217195E-5
26,8449993133545	4,59176199285594E-8	1,71022108474972E-7	5,03147703057039E-7	1,32080162984494E-6	3,150219527015E-6	6,81919846101664E-6	1,33028725031181E-5	2,3831886210246E-5	4,01390752813313E-5	6,34181633358821E-5	9,51239271671511E-5
27,0100002288818	4,60802205282107E-8	1,71339351595634E-7	5,03613250657509E-7	1,3222834240878E-6	3,15374290948967E-6	6,82577228872105E-6	1,33166595333023E-5	2,38597767747706E-5	4,01886863983236E-5	6,35126561974175E-5	9,52812188188545E-5
27,1700000762939	4,6262222497262E-8	1,71604710885731E-7	5,04046909099998E-7	1,32361208216025E-6	3,156584170938E-6	6,83224561726092E-6	1,33296471176436E-5	2,38869961322052E-5	4,02362384193111E-5	6,36011391179636E-5	9,54398128669709E-5
27,3299999237061	4,64382772236149E-8	1,71888487443539E-7	5,0465507683839E-7	1,3249310768515E-6	3,15924080496188E-6	6,83809594193008E-6	1,33422190629062E-5	2,39134478761116E-5	4,02890982513782E-5	6,36889089946635E-5	9,5593226433266E-5
27,4950008392334	4,66224463480103E-8	1,72219159821907E-7	5,05381478888012E-7	1,32642628614121E-6	3,16242562803382E-6	6,84409360474092E-6	1,3355866940401E-5	2,3939624952618E-5	4,03402591473423E-5	6,37736447970383E-5	9,5750940090511E-5
27,6550006866455	4,6785451957021E-8	1,72467309766944E-7	5,05918137605477E-7	1,32768968796881E-6	3,16533328259538E-6	6,849855708424E-6	1,3367248357099E-5	2,39653691096464E-5	4,0387825720245E-5	6,3863888499327E-5	9,59019234869629E-5
27,8150005340576	4,69677345904529E-8	1,72762611327926E-7	5,0644388238652E-7	1,32920672513137E-6	3,16828482027631E-6	6,85584063830902E-6	1,33794246721664E-5	2,3990109184524E-5	4,04347447329201E-5	6,39472855255008E-5	9,60471952566877E-5
27,9799995422363	4,71546250935262E-8	1,73136186276679E-7	5,07032325458567E-7	1,33068556351645E-6	3,17150193041016E-6	6,86205703459564E-6	1,33930134325055E-5	2,40148856391897E-5	4,04808888561092E-5	6,40325306449085E-5	9,61920886766165E-5
28,1399993896484	4,73311168036616E-8	1,73459582697433E-7	5,07469735566701E-7	1,33197011109587E-6	3,17416424877592E-6	6,867705451441E-6	1,34051224449649E-5	2,40405497606844E-5	4,05264581786469E-5	6,41161750536412E-5	9,63338170549832E-5
28,2999992370605	4,75172647895761E-8	1,73728366803516E-7	5,08050959524553E-7	1,33331298002304E-6	3,17665649163246E-6	6,87318606651388E-6	1,34176561914501E-5	2,40654080698732E-5	4,05704595323186E-5	6,42006634734571E-5	9,64783321251161E-5
28,4650001525879	4,77137902521463E-8	1,7404103402896E-7	5,08673451804498E-7	1,33457774609269E-6	3,18012416755664E-6	6,87877991367714E-6	1,34300389618147E-5	2,40908921114169E-5	4,06175058742519E-5	6,42819140921347E-5	9,66253646765836E-5
28,625			4,78733923614527E-8	1,74343128378496E-7	5,09185326791339E-7	1,33590560835728E-6	3,18229740514653E-6	6,88521504343953E-6	1,34411129693035E-5	2,41150846704841E-5	4,06596700486261E-5	6,43654784653336E-5	9,67581145232543E-5
28,7849998474121	4,80663793211988E-8	1,74577650113861E-7	5,09592041453288E-7	1,33742310026719E-6	3,18510001307004E-6	6,89055650582304E-6	1,34528982016491E-5	2,4137905711541E-5	4,07040497520939E-5	6,44433239358477E-5	9,68983731581829E-5
28,9500007629395	4,82480189134549E-8	1,74882856640579E-7	5,10163602029934E-7	1,33870128138369E-6	3,1882605071587E-6	6,8966928665759E-6	1,34651418193243E-5	2,41598772845464E-5	4,07471743528731E-5	6,45194086246192E-5	9,7038981039077E-5
29,1100006103516	4,84205173734154E-8	1,75175017602669E-7	5,1086936991851E-7	1,34023764530866E-6	3,19076116284123E-6	6,90160550220753E-6	1,34777046696399E-5	2,41831439780071E-5	4,07903316954616E-5	6,45954060018994E-5	9,71728150034323E-5
29,2700004577637	4,86090030449304E-8	1,75415323155903E-7	5,11373229983292E-7	1,34132619677985E-6	3,19324612974015E-6	6,90709021000657E-6	1,34887877720757E-5	2,42067035287619E-5	4,08316373068374E-5	6,46698463242501E-5	9,73094647633843E-5
29,4349994659424	4,87991727027293E-8	1,75743650743243E-7	5,11899429511686E-7	1,3425252518573E-6	3,19581454277795E-6	6,91241893946426E-6	1,3501153262041E-5	2,42273581534391E-5	4,08757841796614E-5	6,47518099867739E-5	9,74428839981556E-5
29,5949993133545	4,89502554046339E-8	1,76048118305516E-7	5,12543749664474E-7	1,34390700168296E-6	3,19877949550573E-6	6,91744935465977E-6	1,35110958581208E-5	2,42491641984088E-5	4,09149106417317E-5	6,48244458716363E-5	9,75685979938135E-5
29,7549991607666	4,91431393356834E-8	1,76287983322254E-7	5,13000941282371E-7	1,34514891669824E-6	3,20126173392055E-6	6,92264393364894E-6	1,35221280288533E-5	2,42716796492459E-5	4,09549356845673E-5	6,48986315354705E-5	9,7700503829401E-5
29,9200000762939	4,9307860905401E-8	1,76611337110444E-7	5,13526686063415E-7	1,34668039208918E-6	3,20376693707658E-6	6,92806952429237E-6	1,35329701151932E-5	2,42935857386328E-5	4,0995921153808E-5	6,49692883598618E-5	9,78288298938423E-5
30,0799999237061	4,94877028245355E-8	1,76963212084047E-7	5,14236660364986E-7	1,3478769460562E-6	3,20654930874298E-6	6,9334441832325E-6	1,35448563014506E-5	2,43163467530394E-5	4,10374232160393E-5	6,50410438538529E-5	9,79542601271532E-5
30,2450008392334	4,96888326040335E-8	1,77248537625019E-7	5,14792247940932E-7	1,34928382067301E-6	3,2092045785248E-6	6,93899210091331E-6	1,35539748953306E-5	2,43374270212371E-5	4,10745451517869E-5	6,51125374133699E-5	9,80790573521517E-5
30,4050006866455	4,98580590146958E-8	1,77471790152595E-7	5,15342833296017E-7	1,35049810978671E-6	3,21175798490003E-6	6,94399295753101E-6	1,35646887429175E-5	2,43573067564284E-5	4,11140972573776E-5	6,51833688607439E-5	9,82036435743794E-5
30,5650005340576	5,05474844203491E-8	1,77759972075364E-7	5,15932072175929E-7	1,35147729452001E-6	3,2143425414688E-6	6,94915797794238E-6	1,35752952701296E-5	2,43785525526619E-5	4,11515684390906E-5	6,52537346468307E-5	9,83211721177213E-5
30,7299995422363	5,07108453007277E-8	1,78035477915728E-7	5,16484305990161E-7	1,35298046188836E-6	3,21666425406875E-6	6,9544280449918E-6	1,3586705790658E-5	2,43995909841033E-5	4,1189221519744E-5	6,53257739031687E-5	9,84445432550274E-5
30,8899993896484	5,08618782646408E-8	1,78281268858882E-7	5,17248906817258E-7	1,35430661885039E-6	3,21914694723091E-6	6,95880635248614E-6	1,35963082357193E-5	2,44186812778935E-5	4,1226336179534E-5	6,53932875138707E-5	9,85599690466188E-5
31,0499992370605	5,10477349280336E-8	1,7856402223515E-7	5,17734292770911E-7	1,35537140977249E-6	3,22166988553363E-6	6,96346660333802E-6	1,36059525175369E-5	2,44378934439737E-5	4,12661938753445E-5	6,54598261462525E-5	9,86678205663338E-5
31,2150001525879	5,12223259363509E-8	1,78882416435044E-7	5,18175966135459E-7	1,35662367028999E-6	3,22410414810292E-6	6,96811002853792E-6	1,36165390358656E-5	2,44574930547969E-5	4,13026973546948E-5	6,55258991173469E-5	9,8792661447078E-5
31,375			5,13920355160735E-8	1,79218559992478E-7	5,18737863330898E-7	1,35798211431393E-6	3,22681717079831E-6	6,97313589625992E-6	1,36260860017501E-5	2,44794064201415E-5	4,13382003898732E-5	6,55901749269105E-5	9,89083418971859E-5
31,5349998474121	5,15496729747156E-8	1,79431680180642E-7	5,19245475061325E-7	1,35904122089414E-6	3,22867458635301E-6	6,97783798386808E-6	1,36370299514965E-5	2,44964357989375E-5	4,13714114984032E-5	6,56543561490253E-5	9,90232219919562E-5
31,7000007629395	5,17160607671485E-8	1,79782446707577E-7	5,19690900091518E-7	1,36037829179259E-6	3,23123776979628E-6	6,98223357176175E-6	1,36461567308288E-5	2,45175251620822E-5	4,1405171941733E-5	6,57155105727725E-5	9,91332562989555E-5
31,8600006103516	5,19293017475775E-8	1,80044366970833E-7	5,20296964623412E-7	1,36177879994648E-6	3,2340171856049E-6	6,98717531122384E-6	1,36552125695744E-5	2,45334103965433E-5	4,14431378885638E-5	6,57780619803816E-5	9,92486893665046E-5
32,0200004577637	5,20845837570505E-8	1,8024161363428E-7	5,20842036166869E-7	1,36296398522973E-6	3,23610447594547E-6	6,99218071531504E-6	1,36652097353362E-5	2,45531573455082E-5	4,14763926528394E-5	6,5839514718391E-5	9,93600770016201E-5
32,185001373291		5,22667455982173E-8	1,80564285301443E-7	5,2145821882732E-7	1,3640928955283E-6	3,23867561746738E-6	6,99656311553554E-6	1,36731678139768E-5	2,45712672040099E-5	4,15108406741638E-5	6,58991557429545E-5	9,94698712020181E-5
32,3450012207031	5,23998622270483E-8	1,80897359314258E-7	5,22143352554849E-7	1,36526512051205E-6	3,24081383951125E-6	7,00109694662387E-6	1,36832113639684E-5	2,45886603806866E-5	4,1544517443981E-5	6,59641445963643E-5	9,95720984064974E-5
32,5050010681152	5,25847987375982E-8	1,81167337132138E-7	5,22673758496239E-7	1,36656979066174E-6	3,24334769175039E-6	7,00633790984284E-6	1,36919506985578E-5	2,46040362981148E-5	4,15806425735354E-5	6,60231962683611E-5	9,96797025436535E-5
32,6699981689453	5,27678807316079E-8	1,81489880901609E-7	5,23168750987679E-7	1,36762844249461E-6	3,24585721500625E-6	7,01040471540182E-6	1,37016713779303E-5	2,46227446041303E-5	4,16140210290905E-5	6,60855366731994E-5	9,97867609839886E-5
32,8300018310547	5,29401162907561E-8	1,81787896735841E-7	5,23589790191181E-7	1,36893686430994E-6	3,24781717608857E-6	7,01495991961565E-6	1,37108363560401E-5	2,4640750780236E-5	4,16459188272711E-5	6,61453523207456E-5	9,98947871266864E-5
32,9900016784668	5,31137374082391E-8	1,82070564846981E-7	5,24104166288453E-7	1,37012887080346E-6	3,25009887092165E-6	7,0196288106672E-6	1,3718149602937E-5	2,46569215960335E-5	4,16739167121705E-5	6,62022648612037E-5	9,99925541691482E-5
33,1549987792969	5,3324413329392E-8	1,82323177000399E-7	5,24669474089023E-7	1,37101380914828E-6	3,25257724398398E-6	7,02475972502725E-6	1,37265869852854E-5	2,46740746661089E-5	4,17043156630825E-5	6,62613165332004E-5	1,0009751713369E-4
33,314998626709		5,34763309190112E-8	1,82599009690421E-7	5,25200675838278E-7	1,37237907438248E-6	3,25472228723811E-6	7,02952502251719E-6	1,37367569550406E-5	2,46910021814983E-5	4,17355768149719E-5	6,63159225950949E-5	1,00199657026678E-4
33,4749984741211	5,36519735305774E-8	1,82889337452252E-7	5,25726875366672E-7	1,37338679451204E-6	3,25692690239521E-6	7,03340310792555E-6	1,37448078021407E-5	2,47099596890621E-5	4,17681294493377E-5	6,63717873976566E-5	1,00296201708261E-4
33,6399993896484	5,38273603467587E-8	1,83175970391858E-7	5,26311907833588E-7	1,374646444674E-6	3,25891892316577E-6	7,03793284628773E-6	1,37524912133813E-5	2,47267817030661E-5	4,17989831476007E-5	6,64261751808226E-5	1,00393473985605E-4
33,7999992370605	5,39920606001942E-8	1,83409554210812E-7	5,26782969245687E-7	1,37591916882229E-6	3,26145709550474E-6	7,04202511769836E-6	1,37612696562428E-5	2,47436455538264E-5	4,18305207858793E-5	6,64827966829762E-5	1,00495191873051E-4
33,9599990844727	5,41367519701907E-8	1,83709374823593E-7	5,27424390384112E-7	1,37715903747448E-6	3,2635518891766E-6	7,04642025084468E-6	1,37707238536677E-5	2,47590851358837E-5	4,18609124608338E-5	6,65366824250668E-5	1,00592245871667E-4
34,125			5,43250457951672E-8	1,83988092317122E-7	5,27894599144929E-7	1,37836320845963E-6	3,26640201819828E-6	7,05065576767083E-6	1,37783445097739E-5	2,4777418730082E-5	4,18906602135394E-5	6,65923362248577E-5	1,00690856925212E-4
