0			5,37047229604015E-12	-7,74545672044269E-9	-4,39405738461573E-8	-1,53528901591926E-7	-4,58643228284927E-7	-1,19881929094845E-6	-1,72625323102693E-6	-3,00577517009515E-6	-6,18328931523138E-6	-7,50513618186233E-6	-1,09084721771069E-5
3,88000011444092	1,20237713119309E-8	7,16059034289174E-8	2,224316375532E-7	5,60242881419981E-7	1,26102816011553E-6	2,61145282820507E-6	4,61861509393202E-6	7,62029139877995E-6	1,21180255518993E-5	1,81674022314837E-5	2,54803362622624E-5
4,04500007629395	1,2472245458639E-8	7,36325347361344E-8	2,29338212420771E-7	5,79242794174206E-7	1,30696412270481E-6	2,71178669208894E-6	4,80712378703174E-6	7,94526658864925E-6	1,26529748740722E-5	1,89985457836883E-5	2,66729166469304E-5
4,20499992370605	1,28255237541453E-8	7,55006013264392E-8	2,35980905927136E-7	5,97389316681074E-7	1,3506255527318E-6	2,807324335663E-6	4,98766621603863E-6	8,25706229079515E-6	1,3167635188438E-5	1,97955250769155E-5	2,78204151982209E-5
4,36499977111816	1,32390685081418E-8	7,74002586467759E-8	2,42312609088913E-7	6,14950408817094E-7	1,39328926707094E-6	2,90009393211221E-6	5,1299252845638E-6	8,5628335000365E-6	1,36731086968211E-5	2,05814139917493E-5	2,89514773612609E-5
4,53000020980835	1,36427171781861E-8	7,93230015005975E-8	2,48787642931347E-7	6,32719604709564E-7	1,43674299124541E-6	2,99482030641229E-6	5,30822717337287E-6	8,87580972630531E-6	1,41914197229198E-5	2,13865823752712E-5	3,01140153169399E-5
4,69000005722046	1,40364440071039E-8	8,11446838611118E-8	2,54788886877577E-7	6,4928048004731E-7	1,47718560583598E-6	3,08343533106381E-6	5,47471518075326E-6	9,16992303245934E-6	1,46786724144476E-5	2,21447444346268E-5	3,1210744054988E-5
4,84999990463257	1,44038114768819E-8	8,28704642685807E-8	2,60566253018624E-7	6,65375750941166E-7	1,51648293922335E-6	3,16986006509978E-6	5,63801131647779E-6	9,45834472076967E-6	1,51575195559417E-5	2,28909757424844E-5	3,2291474781232E-5
5,0149998664856		1,47674352746208E-8	8,4624886653728E-8	2,66379458935262E-7	6,81306630667677E-7	1,55524662659445E-6	3,25614587382006E-6	5,80172263653367E-6	9,746964678925E-6	1,56370624608826E-5	2,36392061196966E-5	3,33776297338773E-5
5,17500019073486	1,51394115022185E-8	8,62660414213678E-8	2,71814201369125E-7	6,9658676693507E-7	1,59272531163879E-6	3,33835509991331E-6	5,95856636209646E-6	1,00244778877823E-5	1,60987292474601E-5	2,4358936570934E-5	3,44247164321132E-5
5,33500003814697	1,54953401221292E-8	8,79230128703057E-8	2,7713207373381E-7	7,11495999894396E-7	1,62916091994703E-6	3,41809436577023E-6	6,11232326264144E-6	1,02969806903275E-5	1,65517922141589E-5	2,50685698119923E-5	3,54571202478837E-5
5,5			1,5865181168806E-8	8,95062584049811E-8	2,82349702729334E-7	7,26129314898571E-7	1,66541599355696E-6	3,49795459442248E-6	6,26599558017915E-6	1,05692433862714E-5	1,70064959092997E-5	2,57783976849169E-5	3,64932275260799E-5
5,65999984741211	1,62096309708204E-8	9,10608548565506E-8	2,87360279571658E-7	7,40118707653892E-7	1,69981353792537E-6	3,5743207718042E-6	6,41297219772241E-6	1,08307940536179E-5	1,74436663655797E-5	2,64635255007306E-5	3,7492693081731E-5
5,82000017166138	1,65603513124779E-8	9,25725132105981E-8	2,92254270561898E-7	7,53765732497413E-7	1,73348587395594E-6	3,62157288691378E-6	6,55711392028024E-6	1,10873143057688E-5	1,78721456904896E-5	2,71376393357059E-5	3,84773920814041E-5
5,9850001335144		1,69107341463359E-8	9,41087279215935E-8	2,97183788688926E-7	7,67586413985555E-7	1,76764058323897E-6	3,69557346857619E-6	6,70440977046383E-6	1,13495798359509E-5	1,8312297470402E-5	2,78272109426325E-5	3,94847811548971E-5
6,14499998092651	1,72648579876977E-8	9,55361798560261E-8	3,01724440987527E-7	7,80511300035869E-7	1,79944936462562E-6	3,76464686269173E-6	6,84207907397649E-6	1,15953953354619E-5	1,87242512765806E-5	2,84746820398141E-5	4,0437385905534E-5
6,30499982833862	1,75931909041083E-8	9,69272591078152E-8	3,06210580447441E-7	7,93050844549725E-7	1,83096517503145E-6	3,83340557164047E-6	6,97744280842016E-6	1,18383732115035E-5	1,9131268345518E-5	2,91132582788123E-5	4,13757370552048E-5
6,46999979019165	1,79380741371915E-8	9,83732988402153E-8	3,10587637386561E-7	8,05419233529392E-7	1,86170143479103E-6	3,90165814678767E-6	7,11239454176393E-6	1,20814038382377E-5	1,95397042261902E-5	2,975506868097E-5	4,23210549342912E-5
6,63000011444092	1,82608115295579E-8	9,97255895640592E-8	3,14758608510601E-7	8,17374655071035E-7	1,89150034657359E-6	3,96713721784181E-6	7,24221945347381E-6	1,23149984574411E-5	1,99329169845441E-5	3,03752840409288E-5	4,32317647209857E-5
6,78999996185303	1,85892901072293E-8	1,01038189370684E-7	3,18911588692572E-7	8,28811380415573E-7	1,92025549949904E-6	4,03132025894593E-6	7,3695414357644E-6	1,25439901239588E-5	2,03192448680056E-5	3,09845527226571E-5	4,4129690650152E-5
6,95499992370605	1,88911606358033E-8	1,02449483563305E-7	3,22991581924725E-7	8,40596840134822E-7	1,94960784938303E-6	4,09639051213162E-6	7,49905893826508E-6	1,27770799736027E-5	2,07122357096523E-5	3,16079858748708E-5	4,50476654805243E-5
7,11499977111816	1,92330578130395E-8	1,03742010537644E-7	3,26909372461159E-7	8,51577738103515E-7	1,97711256078037E-6	4,15799786424031E-6	7,62064064474544E-6	1,29980471683666E-5	2,10850575967925E-5	3,21963561873417E-5	4,59179827885237E-5
7,28000020980835	1,95603462316285E-8	1,05076388479119E-7	3,30715124619019E-7	8,62635545217927E-7	2,00457907340024E-6	4,21855975218932E-6	7,7422546382877E-6	1,32188042698544E-5	2,14568808587501E-5	3,27197922160849E-5	4,67909812869038E-5
